/ifs/data1/bakPROJECT  1.6190T  5.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Cooperation/AP  8.6858T  30.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Cooperation/DNA  1.1k  1.00G
/ifs/data1/bioinfo/PROJECT/Commercial/Cooperation/EPI  62.3046T  95.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Cooperation/Filter  906.3k  1.00G
/ifs/data1/bioinfo/PROJECT/Commercial/Cooperation/Hic  74.3830T  100.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Cooperation/Medical  46.7114T  95.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Cooperation/Mic  69.085G  10.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Cooperation/Other  326  1.00G
/ifs/data1/bioinfo/PROJECT/Commercial/Cooperation/PAG  74.9556T  90.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Cooperation/QC  100.3785T  155.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Cooperation/RNA  84.5671T  120.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Cooperation/SinCell  4.7k  1.00G
/ifs/data1/bioinfo/PROJECT/RD/Cooperation/AP  6.1102T  8.50T
/ifs/data1/bioinfo/PROJECT/RD/Cooperation/Database  0  1.00G
/ifs/data1/bioinfo/PROJECT/RD/Cooperation/DNA  1.5941T  1.00G
/ifs/data1/bioinfo/PROJECT/RD/Cooperation/EPI  4.3918T  5.00T
/ifs/data1/bioinfo/PROJECT/RD/Cooperation/Hic  9.9605T  10.00T
/ifs/data1/bioinfo/PROJECT/RD/Cooperation/Medical  7.4810T  10.00T
/ifs/data1/bioinfo/PROJECT/RD/Cooperation/Mic  3.3137T  4.00T
/ifs/data1/bioinfo/PROJECT/RD/Cooperation/Other  2.0k  1.00G
/ifs/data1/bioinfo/PROJECT/RD/Cooperation/PAG  3.8620T  5.00T
/ifs/data1/bioinfo/PROJECT/RD/Cooperation/QC  46.007G  46.00G
/ifs/data1/bioinfo/PROJECT/RD/Cooperation/RNA  10.0000T  10.00T
/ifs/data1/bioinfo/PROJECT/RD/Cooperation/SinCell  2.2k  1.00G
/ifs/data1/bioinfo/PROJECT/RD/Pipeline_test  2.2139T  3.00T
/ifs/data1/fqdata/data2016/sci  0  1.00T
/ifs/data1/fqdata/sci  170.9217T  208.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Medical/AT  616.255G  2.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Medical/GT  1.8163T  2.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Medical/MD  8.5605T  10.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Medical/PD  65.6390T  97.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Medical/PG  4.0685T  5.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Medical/PGS  354.484G  500.00G
/ifs/data1/bioinfo/PROJECT/RD/Medical/MD  296.502G  1.00T
/ifs/data1/bioinfo/PROJECT/RD/Medical/PD  31.2982T  35.00T
/ifs/data1/fqdata/data2016/pd  549.775G  2.00T
/ifs/data1/fqdata/pd  29.6076T  33.00T
/ifs/data1/bioinfo/PROJECT/RD/Medical/cancerResearch  77.2995T  80.00T
/ifs/data1/bioinfo/PROJECT/RD/Medical/Leukemia  24.0902T  26.00T
/ifs/data1/bioinfo/PROJECT/Commercial/Medical/Leukemia  33.2222T  40.00T
/ifs/data1/bioinfo/PROJECT/RD/Medical/ProjectsStatistics  256.9k  100.00M
/ifs/data1/bioinfo/PROJECT/RD/Medical/tmp  3.5919T  4.00T
/ifs/data1/fqdata/data2016/cancer  193.837G  1.70T
/ifs/data1/fqdata/cancer  8.4073T  30.00T
